Wall time,Step,Value
1670198169.464653,0,52.05849838256836
1670198195.9598956,1,54.998775482177734
1670198221.8072367,2,55.40326690673828
1670198247.2389467,3,56.55484390258789
1670198273.1892643,4,62.0751953125
1670198298.2231154,5,63.77506637573242
1670198324.225396,6,63.40664291381836
1670198349.1854477,7,63.68154525756836
1670198373.4439905,8,64.00942993164062
1670198397.2915292,9,67.98318481445312
1670198421.5797215,10,71.62218475341797
1670198446.2185252,11,74.99081420898438
1670198471.0260754,12,75.4896469116211
1670198495.143884,13,76.71912384033203
1670198519.0517085,14,78.70286560058594
1670198543.3339164,15,87.15491485595703
1670198569.40725,16,98.5497817993164
1670198595.6469007,17,98.1752700805664
1670198621.6626375,18,98.93451690673828
1670198647.1038675,19,98.98446655273438
1670198672.5128477,20,99.31211853027344
1670198696.564186,21,99.3039321899414
1670198721.163848,22,99.34988403320312
1670198745.9001956,23,99.19371795654297
1670198770.9114213,24,99.46113586425781
1670198794.891353,25,94.3666000366211
1670198818.866141,26,99.41825103759766
1670198842.5873306,27,99.52848815917969
1670198867.2838423,28,99.44889831542969
1670198892.2204401,29,99.43055725097656
1670198916.879361,30,99.5591049194336
1670198940.7640028,31,99.60299682617188
1670198964.9054341,32,99.66626739501953
1670198988.6037915,33,99.6254653930664
1670199013.7029212,34,99.50096130371094
1670199038.6288726,35,99.69689178466797
1670199062.7974513,36,99.43360900878906
1670199086.9215147,37,99.70811462402344
1670199110.959305,38,99.69075775146484
1670199135.956306,39,99.68566131591797
