Wall time,Step,Value
1669956202.8236797,1,53.02192306518555
1669956320.3844628,2,55.45803451538086
1669956438.188287,3,55.56927490234375
1669956554.7348263,4,55.63255310058594
1669956671.455071,5,56.30613327026367
1669956787.5487926,6,58.211544036865234
1669956902.8942552,7,61.34572982788086
1669957019.0588617,8,63.63692092895508
1669957133.6591241,9,67.41100311279297
1669957248.8487175,10,79.95285034179688
1669957364.1119823,11,95.66561889648438
1669957479.6382978,12,98.21603393554688
1669957595.4993265,13,98.88043212890625
1669957710.8489506,14,99.11312103271484
1669957826.4828937,15,99.32540130615234
1669957942.0982203,16,99.49787902832031
1669958057.2524498,17,99.55197143554688
1669958171.8470635,18,99.62442779541016
1669958286.042531,19,99.67137145996094
1669958399.9636807,20,99.71627807617188
1669958513.729081,21,99.76424407958984
1669958627.97438,22,99.80711364746094
1669958741.6325314,23,99.80098724365234
1669958855.7969642,24,99.82854461669922
1669958970.1872647,25,99.83466339111328
1669959084.5935242,26,99.86630249023438
1669959199.0419912,27,99.85202026367188
1669959313.9810314,28,99.86732482910156
1669959428.4509878,29,99.88671875
1669959541.9854178,30,99.9061050415039
1669959655.8107848,31,99.87345123291016
1669959769.8501666,32,99.90814971923828
1669959883.7259445,33,99.89794158935547
1669959998.089312,34,99.89488220214844
1669960112.108059,35,99.91018676757812
1669960226.3758073,36,99.90509033203125
1669960340.5250866,37,99.92753601074219
1669960454.6047714,38,99.93468475341797
1669960568.310033,39,99.92243957519531
1669960681.7409098,40,99.92447662353516
