Wall time,Step,Value
1669956202.8236797,1,52.01869583129883
1669956320.3844628,2,67.67431640625
1669956438.188287,3,69.48481750488281
1669956554.7348263,4,69.94100952148438
1669956671.455071,5,70.30535888671875
1669956787.5487926,6,70.64622497558594
1669956902.8942552,7,70.85340118408203
1669957019.0588617,8,71.23407745361328
1669957133.6591241,9,72.22811889648438
1669957248.8487175,10,72.69451904296875
1669957364.1119823,11,72.85270690917969
1669957479.6382978,12,76.15325164794922
1669957595.4993265,13,81.07649993896484
1669957710.8489506,14,83.08396911621094
1669957826.4828937,15,84.72301483154297
1669957942.0982203,16,86.05792999267578
1669958057.2524498,17,86.92133331298828
1669958171.8470635,18,88.01028442382812
1669958286.042531,19,89.04106903076172
1669958399.9636807,20,89.90243530273438
1669958513.729081,21,90.67501068115234
1669958627.97438,22,91.33531951904297
1669958741.6325314,23,91.90377807617188
1669958855.7969642,24,92.5447006225586
1669958970.1872647,25,93.12336730957031
1669959084.5935242,26,93.68366241455078
1669959199.0419912,27,94.08882904052734
1669959313.9810314,28,94.49604034423828
1669959428.4509878,29,94.89099884033203
1669959541.9854178,30,95.23391723632812
1669959655.8107848,31,95.66153717041016
1669959769.8501666,32,95.93708801269531
1669959883.7259445,33,96.0626220703125
1669959998.089312,34,96.4565658569336
1669960112.108059,35,96.76783752441406
1669960226.3758073,36,96.937255859375
1669960340.5250866,37,97.09033966064453
1669960454.6047714,38,97.28424835205078
1669960568.310033,39,97.49346923828125
1669960681.7409098,40,97.68840026855469
